term	arousal
drug dealer	0.138
jack up	0.138
funeral home	0.138
just now	0.138
rock hard	0.138
quantum leap	0.138
medical procedure	0.138
second coming	0.138
put on	0.138
liability insurance	0.138
swallow that	0.138
aurora borealis	0.138
drive through	0.138
internal affairs	0.138
green energy	0.138
bull run	0.138
quality control	0.138
block party	0.138
magnifying glass	0.138
tennis court	0.138
paying back	0.138
bermuda triangle	0.138
seeing red	0.138
jump start	0.138
purchase price	0.138
cook up	0.138
just kidding	0.138
labor day	0.138
confederate flag	0.138
security blanket	0.138
do justice	0.138
price increase	0.138
to blame	0.138
good riddance	0.138
electric car	0.138
american thanksgiving	0.138
arcade game	0.138
precious little	0.136
evil eye	0.136
honorable mention	0.136
touch down	0.136
erectile dysfunction	0.136
past experience	0.136
main concern	0.136
smart mouth	0.136
dark comedy	0.136
win win	0.136
caught dead	0.136
dip in	0.136
light rail	0.136
hands up	0.136
visually impaired	0.136
mechanical engineer	0.136
come around	0.136
beyond repair	0.136
educational system	0.136
wiped out	0.136
public affairs	0.136
foreign affairs	0.136
pregnancy test	0.136
voting system	0.136
a drive	0.136
at heart	0.136
big city	0.136
touch base	0.136
pump in	0.136
triple crown	0.136
strong suit	0.136
voting booth	0.136
work together	0.136
go after	0.136
civic duty	0.136
partner up	0.136
fire hydrant	0.136
roll in	0.136
break down	0.136
shrimp cocktail	0.136
first degree	0.136
have trouble	0.136
straighten out	0.136
honky tonk	0.136
master class	0.136
facial recognition	0.136
surprised at	0.134
push on	0.134
brace yourself	0.134
yacht club	0.134
private equity	0.134
lunar eclipse	0.134
big time	0.134
drive home	0.134
trophy wife	0.134
well timed	0.134
break through	0.134
speed limit	0.134
highly recommended	0.134
break out	0.134
cop out	0.134
keep doing	0.134
too much	0.134
third reich	0.134
summer camp	0.134
double digit	0.134
fingers crossed	0.134
liberal democrat	0.132
at stake	0.132
thumbs up	0.132
pull over	0.132
cold war	0.132
frequent flyer	0.132
peppermint oil	0.132
scuba diving	0.132
bust out	0.132
buzz cut	0.132
death grip	0.132
kidney stone	0.132
steak house	0.132
community college	0.132
collaborate with	0.132
burn up	0.132
direct flight	0.132
rapid transit	0.132
field trip	0.132
barn burner	0.132
tunnel vision	0.132
instant replay	0.132
foul out	0.132
city officials	0.132
en route	0.132
pharmaceutical company	0.132
get fresh	0.132
monopoly money	0.132
phone company	0.132
ad agency	0.132
vocal cords	0.132
plead guilty	0.132
catch phrase	0.132
shopping spree	0.132
mouth off	0.130
jeepers creepers	0.130
rights issue	0.130
con artist	0.130
baby bump	0.130
get information	0.130
at risk	0.130
meat grinder	0.130
baby boom	0.130
sweat out	0.130
politically correct	0.130
health authority	0.130
make fun	0.130
sure sign	0.130
law degree	0.130
tax money	0.130
revert to	0.130
raise funds	0.130
big league	0.130
grand prix	0.130
play music	0.130
bunny girl	0.130
pulled pork	0.130
left standing	0.130
legal profession	0.130
silicon valley	0.128
security system	0.128
self proclaimed	0.128
home buyer	0.128
barbed wire	0.128
professional baseball	0.128
light up	0.128
sandwich shop	0.128
smoked salmon	0.128
radio program	0.128
add up	0.128
french bulldog	0.128
tennis match	0.128
get outside	0.128
hit me	0.126
rip out	0.126
get healthy	0.126
organized religion	0.126
lap dance	0.126
very nice	0.126
personal foul	0.126
mass transit	0.126
revolve around	0.126
wreak havoc	0.126
film festival	0.126
tighten up	0.126
time traveling	0.126
change course	0.126
rejoice in	0.126
credit score	0.126
join up	0.126
buck up	0.126
makeup artist	0.126
binge eating	0.126
night club	0.126
school yard	0.126
get high	0.126
participate in	0.124
weigh in	0.124
full employment	0.124
life form	0.124
drug testing	0.124
yellow card	0.124
democratic party	0.124
hot potato	0.124
go with	0.124
stand against	0.124
carried away	0.124
waking up	0.124
lust for	0.124
human capital	0.124
stink eye	0.124
curse word	0.124
bucket list	0.124
pitch black	0.124
policy change	0.124
sales manager	0.124
pull to	0.124
stock exchange	0.124
mental hospital	0.124
open air	0.124
by contrast	0.124
push in	0.124
team player	0.124
brotherly love	0.124
smart people	0.124
geek out	0.124
acoustic guitar	0.124
go wrong	0.124
gay couple	0.124
mass media	0.124
beta test	0.124
operate on	0.124
smart man	0.124
conference room	0.124
capitol building	0.124
air raid	0.124
go deep	0.124
step into	0.124
jacking off	0.124
rip off	0.124
good fortune	0.124
rock solid	0.124
golden goose	0.124
internet explorer	0.124
provide care	0.124
close quarters	0.124
essential services	0.124
fly into	0.124
witch hunt	0.124
go ahead	0.124
legal counsel	0.124
optical illusion	0.124
free people	0.124
staying power	0.124
capitalize on	0.124
sickle cell	0.124
safety car	0.124
launch into	0.124
brain tumor	0.124
tractor trailer	0.122
shower with	0.122
sex appeal	0.122
kicking around	0.122
live through	0.122
direct access	0.122
postpartum depression	0.122
graduating class	0.122
shoulder in	0.122
hard left	0.122
stress out	0.122
get bent	0.122
wash away	0.122
grand tour	0.122
wade through	0.122
hold fast	0.122
double dip	0.122
pick apart	0.122
swell up	0.122
international law	0.122
resonate with	0.122
pole vault	0.122
go to	0.122
food production	0.122
kung fu	0.122
early childhood	0.122
third world	0.122
punch line	0.122
slap shot	0.122
life expectancy	0.120
hydrogen peroxide	0.120
scroll wheel	0.120
moving away	0.120
damn it	0.120
blow away	0.120
jury duty	0.120
organic growth	0.120
nose job	0.120
product placement	0.120
track star	0.120
raisin bran	0.120
great guy	0.120
order up	0.120
dirt bag	0.120
come at	0.120
surgical mask	0.120
time machine	0.120
join forces	0.120
morning sickness	0.120
cabinet minister	0.120
taken over	0.120
flash drive	0.118
body part	0.118
tattoo artist	0.118
stick shift	0.118
a handful	0.118
let's go	0.118
tax break	0.118
social contract	0.118
open water	0.118
hit off	0.118
red dog	0.118
tax revenue	0.118
buy order	0.118
chop chop	0.118
achieve success	0.118
opening up	0.118
western civilization	0.118
sherlock holmes	0.118
film adaptation	0.118
nuclear family	0.118
in favor	0.118
black out	0.118
civil liberties	0.118
car battery	0.116
no stopping	0.116
moderate disgust	0.116
stumble across	0.116
you betcha	0.116
jet set	0.116
by far	0.116
quick fix	0.116
pecking order	0.116
live music	0.116
soccer mom	0.116
girl scouts	0.116
motion picture	0.116
table tennis	0.116
airport terminal	0.116
press room	0.116
determining factor	0.116
fresh start	0.114
scientific method	0.114
trash talk	0.114
train at	0.114
strip away	0.114
poison ivy	0.114
tough choice	0.114
man child	0.114
check up	0.114
self loathing	0.114
hit back	0.114
gay people	0.114
run into	0.114
investment banking	0.114
one shot	0.114
pop music	0.114
sweet jesus	0.114
hamster wheel	0.114
heat index	0.114
rich man	0.114
street smart	0.114
flag football	0.114
double down	0.114
hop on	0.114
versed in	0.114
first run	0.114
guest appearance	0.114
in cahoots	0.114
win back	0.112
at issue	0.112
government building	0.112
agent orange	0.112
pearl necklace	0.112
get it	0.112
talk back	0.112
flood in	0.112
grow together	0.112
fantasy novel	0.112
young person	0.112
runny nose	0.112
dream team	0.112
rip through	0.112
spray paint	0.112
cut away	0.112
berlin wall	0.112
sugar baby	0.112
love boat	0.112
term paper	0.112
educated guess	0.112
high hopes	0.112
pure joy	0.112
big apple	0.112
community garden	0.112
act upon	0.112
stack overflow	0.112
code switching	0.112
shoot off	0.112
involved in	0.112
god forsaken	0.112
bring on	0.112
religious belief	0.112
big smoke	0.112
graveyard shift	0.112
life threatening	0.112
root out	0.112
source code	0.112
oncoming traffic	0.112
eastern conference	0.112
photo shoot	0.112
chief executive	0.112
walkie talkie	0.112
fly by	0.112
get serious	0.112
human right	0.112
linear algebra	0.112
sought after	0.112
great year	0.112
consumer protection	0.112
deal in	0.112
played out	0.110
right arm	0.110
tag team	0.110
high water	0.110
medical history	0.110
speak with	0.110
litmus test	0.110
red lipstick	0.110
play with	0.110
solar eclipse	0.110
make over	0.110
smiley face	0.110
queen bee	0.110
legal aid	0.110
tour guide	0.110
chat room	0.110
huge amount	0.110
crowd in	0.110
burn off	0.110
guitar player	0.110
reverse engineer	0.108
double figures	0.108
spot light	0.108
greener pastures	0.108
in progress	0.108
independence day	0.108
blame game	0.108
in concert	0.108
minority government	0.108
push away	0.108
fog up	0.108
red pepper	0.108
movie theatre	0.108
creep up	0.108
repeat offender	0.108
human race	0.108
hate mail	0.108
in operation	0.108
fetal position	0.108
gold mine	0.108
rise up	0.108
upwards of	0.108
second language	0.108
knock knock	0.108
con man	0.108
cop on	0.108
phase in	0.108
run through	0.108
pap smear	0.108
boom box	0.108
in focus	0.108
purchasing power	0.106
hand wringing	0.106
equal opportunity	0.106
middle finger	0.106
have success	0.106
how many	0.106
crocodile tears	0.106
carve out	0.106
god awful	0.106
get confused	0.106
kiss me	0.106
operating costs	0.106
squat rack	0.106
thanksgiving day	0.106
american indian	0.106
stocked with	0.106
hit on	0.106
human face	0.106
chime in	0.106
collateral damage	0.106
lasting impact	0.106
warm fuzzies	0.106
special needs	0.106
change into	0.106
hockey rink	0.106
burst in	0.106
play at	0.106
family fun	0.106
ticked off	0.104
working class	0.104
draw in	0.104
cowboy boots	0.104
main stage	0.104
top quality	0.104
slip into	0.104
chicken sandwich	0.104
subject matter	0.104
vacuum cleaner	0.104
third eye	0.104
one helluva	0.104
movie theater	0.104
apply for	0.104
living thing	0.104
hot springs	0.104
poke fun	0.104
ad nauseam	0.104
news show	0.104
terminally ill	0.104
make time	0.104
group work	0.104
deja vu	0.104
black knight	0.104
financial analyst	0.102
screen name	0.102
ask around	0.102
elder abuse	0.102
private practice	0.102
knock on	0.102
gut feeling	0.102
last ditch	0.102
very positive	0.102
plan out	0.102
wiggle room	0.102
press box	0.102
gene therapy	0.102
popular music	0.102
room service	0.102
high quality	0.102
have issues	0.102
square up	0.102
drag out	0.102
yellow light	0.102
brain trust	0.102
showing off	0.102
hazmat suit	0.102
compare to	0.102
extend to	0.102
move up	0.102
move around	0.102
speak for	0.102
summer time	0.102
hula hoop	0.102
dressing room	0.102
home schooling	0.102
short supply	0.102
magic wand	0.102
smell test	0.102
crave for	0.102
humanly possible	0.102
ruling class	0.102
catch up	0.102
top dollar	0.102
familiar with	0.102
think tank	0.102
noise pollution	0.102
big bang	0.102
the runaround	0.102
tax policy	0.102
higher up	0.100
you're on	0.100
back away	0.100
batting average	0.100
first edition	0.100
modern times	0.100
good day	0.100
cuss out	0.100
chili dog	0.100
right direction	0.100
up with	0.100
love affair	0.100
chicken little	0.100
shake out	0.100
born again	0.100
mixed doubles	0.100
wander around	0.100
with pleasure	0.100
big man	0.100
public access	0.100
first step	0.100
public land	0.100
start in	0.100
burn out	0.100
trade down	0.100
taken with	0.098
nut case	0.098
head on	0.098
pull together	0.098
fire off	0.098
police department	0.098
caps lock	0.098
stoppage time	0.098
flight path	0.098
prime rib	0.098
function as	0.098
give advice	0.098
try out	0.098
go on	0.098
air time	0.098
phone in	0.098
fake it	0.098
go beyond	0.098
state law	0.098
full house	0.098
visit with	0.098
big day	0.098
roll out	0.098
help yourself	0.098
ferris wheel	0.098
call upon	0.098
oxygen mask	0.098
fun day	0.098
break from	0.098
game plan	0.098
fixer upper	0.098
penalty shot	0.098
panel discussion	0.098
in reality	0.098
lead on	0.096
emotional state	0.096
spelling bee	0.096
heat stroke	0.096
playing cards	0.096
big head	0.096
swear to	0.096
bar mitzvah	0.096
third trimester	0.096
take heart	0.096
fed up	0.096
waiting game	0.096
insurance agent	0.096
carry on	0.096
perp walk	0.096
let loose	0.096
ghost writer	0.096
moon landing	0.096
elementary school	0.096
drum kit	0.096
guess what	0.096
blue devils	0.096
have expectations	0.096
credit to	0.096
strung out	0.096
judge of	0.096
check by	0.096
household income	0.096
large number	0.096
love-hate relationship	0.096
tell about	0.096
logical thinking	0.096
keep coming	0.096
judicial review	0.096
orange county	0.096
further down	0.096
weight room	0.096
state government	0.096
pandora's box	0.096
close proximity	0.096
human health	0.096
year resolution	0.096
brady bunch	0.096
power outage	0.096
fix up	0.096
trading card	0.094
charter school	0.094
self explanatory	0.094
pillow fight	0.094
tap for	0.094
trump card	0.094
deal with	0.094
split second	0.094
damn straight	0.094
soul searching	0.094
public office	0.094
chemical peel	0.094
false alarm	0.094
under duress	0.094
pants down	0.094
perfect game	0.094
cut through	0.094
washing machine	0.094
going rate	0.094
arm up	0.094
totally awesome	0.094
corn maze	0.094
mad scientist	0.094
huge fan	0.094
full range	0.094
pulling out	0.094
count towards	0.094
foreign policy	0.094
depart from	0.094
major in	0.092
federal court	0.092
stress test	0.092
rare form	0.092
land rover	0.092
your turn	0.092
legal system	0.092
win out	0.092
poker game	0.092
cha cha	0.092
work through	0.092
radio show	0.092
public interest	0.092
bubble with	0.092
suck in	0.092
true identity	0.092
job interview	0.092
medical bill	0.092
receding hairline	0.092
tying up	0.092
safe sex	0.092
balance beam	0.092
wood chipper	0.092
season premiere	0.092
facebook page	0.092
drug addiction	0.092
work force	0.092
mug shot	0.090
transit system	0.090
side effect	0.090
rush through	0.090
shot down	0.090
with wings	0.090
poke around	0.090
alive with	0.090
wide variety	0.090
time period	0.090
sneaking suspicion	0.090
find work	0.090
distance learning	0.090
risk averse	0.090
tear apart	0.090
money laundering	0.090
stretching it	0.090
six pack	0.090
promised land	0.090
follow up	0.090
attuned to	0.090
forklift operator	0.090
play cards	0.090
belt out	0.090
flight attendant	0.090
bullet point	0.090
repair shop	0.090
flip over	0.090
play for	0.090
credit with	0.090
tough question	0.090
learning curve	0.090
time frame	0.090
travel to	0.090
rising prices	0.090
cut up	0.090
put forward	0.090
shape up	0.090
best part	0.090
prime example	0.090
finance minister	0.090
social life	0.090
detract from	0.090
crowd control	0.090
freight train	0.090
piece together	0.090
cutting corners	0.090
cold sweat	0.090
lighten up	0.088
go across	0.088
shut out	0.088
better believe	0.088
quick buck	0.088
primary residence	0.088
new wave	0.088
tough love	0.088
no hitter	0.088
stepping stone	0.088
early bird	0.088
shine through	0.088
boss about	0.088
go far	0.088
prostate cancer	0.088
better still	0.088
corporate tax	0.088
last minute	0.088
move forward	0.088
coming together	0.088
come across	0.088
main problem	0.088
tech support	0.088
baseball field	0.088
fly ball	0.088
hunt down	0.086
culture shock	0.086
happy camper	0.086
day game	0.086
potty trained	0.086
big boys	0.086
training ground	0.086
gold medal	0.086
trench coat	0.086
magic carpet	0.086
on camera	0.086
stressed out	0.086
safe passage	0.086
work with	0.086
socialized medicine	0.086
hack it	0.086
core group	0.086
red hot	0.086
happy ending	0.086
your highness	0.086
first state	0.086
hot seat	0.086
last straw	0.086
escape from	0.086
ward off	0.086
new age	0.085
campaign trail	0.084
boarded up	0.084
fund manager	0.084
get together	0.084
provide support	0.084
persist in	0.084
funny story	0.084
come forward	0.084
pleasantly surprised	0.084
scum bag	0.084
gas pedal	0.084
basket case	0.084
junior high	0.084
spit out	0.084
run amok	0.084
crush on	0.084
foreign minister	0.084
snap out	0.084
air drop	0.084
narrow down	0.084
shot clock	0.084
happy holidays	0.084
crew member	0.084
attribute to	0.084
national team	0.084
rule over	0.084
top player	0.084
big house	0.084
take issue	0.084
write about	0.084
natural law	0.084
night out	0.084
vantage point	0.084
present moment	0.084
end game	0.084
gulf war	0.084
record holder	0.084
chili powder	0.084
a go	0.084
polar bear	0.084
contend with	0.084
job application	0.082
drawing tablet	0.082
football club	0.082
shopping around	0.082
holy trinity	0.082
trash out	0.082
dead set	0.082
gay community	0.082
best wishes	0.082
oil industry	0.082
that sucks	0.082
big pharma	0.082
invest in	0.082
pour into	0.082
fixing to	0.082
capitol hill	0.082
drive out	0.082
bear market	0.082
trailer trash	0.082
lead role	0.082
in spades	0.082
in cash	0.082
team together	0.082
pass through	0.082
scale up	0.082
tough luck	0.082
true believers	0.082
foster care	0.082
director's cut	0.082
placebo effect	0.082
carry around	0.082
measure up	0.080
roll around	0.080
medical school	0.080
kidding aside	0.080
delivery man	0.080
concession stand	0.080
in depth	0.080
buckle up	0.080
build on	0.080
ring tone	0.080
selfish person	0.080
voice actor	0.080
rain check	0.080
real world	0.080
turnaround time	0.080
boiler room	0.080
good head	0.080
more precisely	0.080
price drop	0.080
drinking age	0.080
border collie	0.080
performing arts	0.080
dark horse	0.080
false positives	0.080
double time	0.080
hot fudge	0.080
ankle bracelet	0.080
fun part	0.080
common knowledge	0.080
stay awake	0.080
get away	0.080
quick glance	0.080
racial profiling	0.080
free fall	0.080
northern lights	0.080
rise to	0.080
free spirit	0.080
spend money	0.080
high five	0.080
profit from	0.080
public property	0.080
board game	0.079
muscle memory	0.078
dispose of	0.078
addams family	0.078
grocery store	0.078
talking to	0.078
investigative journalism	0.078
launch pad	0.078
main line	0.078
pull out	0.078
front line	0.078
start out	0.078
short selling	0.078
royal family	0.078
blow me	0.078
bring in	0.078
social services	0.078
rice krispies	0.078
come away	0.078
civic center	0.078
golden goal	0.078
stand tall	0.078
dark night	0.078
asset management	0.078
poster boy	0.078
original sin	0.078
game theory	0.078
film noir	0.078
hard time	0.078
law student	0.078
getting even	0.078
funny business	0.076
you lot	0.076
free world	0.076
pay phone	0.076
throw off	0.076
banged up	0.076
move towards	0.076
work into	0.076
eye contact	0.076
money supply	0.076
hump day	0.076
like mad	0.076
cup final	0.076
cartoon character	0.076
funny man	0.076
alter ego	0.076
air conditioned	0.076
big data	0.076
a getaway	0.076
status symbol	0.076
clinical practice	0.076
run time	0.076
solicitor general	0.076
fly out	0.076
quarter pounder	0.076
common misconception	0.076
small world	0.076
look at	0.076
consulting firm	0.076
head start	0.076
english teacher	0.076
public company	0.076
to go	0.076
sober up	0.076
greatly positive	0.076
trade away	0.076
falling down	0.076
compliment on	0.076
bring back	0.076
mama bear	0.076
losing it	0.076
tear down	0.076
fun stuff	0.076
pull through	0.076
high heat	0.076
answer back	0.076
girl group	0.076
black diamond	0.076
guessing game	0.076
hardware store	0.074
printing press	0.074
life partner	0.074
deep tissue	0.074
good time	0.074
silver bullet	0.074
hot mess	0.074
boy band	0.074
shut up	0.074
call on	0.074
catch on	0.074
pump up	0.074
meet with	0.074
dish out	0.074
calculated risk	0.074
nine times	0.074
response time	0.074
foreign language	0.074
time series	0.074
team sport	0.074
line drive	0.074
beat to	0.074
cold blooded	0.074
rainbow flag	0.074
life sentence	0.074
beat in	0.074
propping up	0.074
intent on	0.072
in person	0.072
fecal matter	0.072
the case	0.072
second baseman	0.072
care worker	0.072
back alley	0.072
ceiling fan	0.072
big brother	0.072
just miss	0.072
broken heart	0.072
health care	0.072
job security	0.072
profit margin	0.072
stumble on	0.072
hard part	0.072
pop off	0.072
gated community	0.072
dig into	0.072
this stage	0.072
cash money	0.072
broken record	0.072
tap into	0.072
snitch on	0.072
in passing	0.072
air pollution	0.072
play into	0.070
train on	0.070
shower curtain	0.070
security deposit	0.070
news article	0.070
take advice	0.070
focus on	0.070
propose to	0.070
false claims	0.070
at hand	0.070
parking ticket	0.070
legal advice	0.070
sign into	0.070
cost you	0.070
party girl	0.070
historical record	0.070
social status	0.070
city limits	0.070
bated breath	0.070
black man	0.070
think again	0.070
make progress	0.070
bald eagle	0.070
ballot box	0.070
new media	0.070
tag on	0.070
body bag	0.068
lie detector	0.068
dive in	0.068
summer solstice	0.068
behind bars	0.068
above average	0.068
branch out	0.068
dental work	0.068
shake off	0.068
act on	0.068
academic freedom	0.068
pop up	0.068
lecture on	0.068
hooked on	0.068
go downtown	0.068
grow to	0.068
mumbo jumbo	0.068
switch on	0.068
school kid	0.068
social welfare	0.068
vacation time	0.068
play on	0.068
hard by	0.068
ahead of	0.068
pound sand	0.068
have to	0.068
yes man	0.068
rush out	0.068
full out	0.068
double back	0.068
good lord	0.068
eat crow	0.068
do up	0.068
index finger	0.068
washed up	0.066
diminishing returns	0.066
go places	0.066
stop sign	0.066
dependant on	0.066
forced labor	0.066
slave labor	0.066
on duty	0.066
safety net	0.066
excel at	0.066
tent city	0.066
on campus	0.066
loose cannon	0.066
half life	0.066
light pollution	0.066
golf club	0.066
in earnest	0.066
free agent	0.066
heat wave	0.066
make history	0.066
true believer	0.066
go forth	0.066
first rate	0.066
hat trick	0.066
public health	0.066
big part	0.066
security camera	0.066
leaf blower	0.066
stuck with	0.066
bother with	0.066
grand prize	0.066
rag on	0.066
master's degree	0.066
total eclipse	0.066
standard time	0.066
fly in	0.066
laser tag	0.066
butter knife	0.066
work at	0.066
crack down	0.066
rap sheet	0.066
grow out	0.064
spin out	0.064
baby goat	0.064
sheer volume	0.064
intentional grounding	0.064
crystal ball	0.064
pop out	0.064
second wind	0.064
pork chops	0.064
glow stick	0.064
goal difference	0.064
support network	0.064
smoke up	0.064
in fashion	0.064
freeze up	0.064
work permit	0.064
jingle bells	0.064
foot traffic	0.064
good sport	0.064
cutting board	0.064
bulletin board	0.064
adult life	0.064
cheat sheet	0.064
zero tolerance	0.064
act for	0.064
fish for	0.064
veggie burger	0.064
make use	0.064
white trash	0.064
fruit juice	0.064
real good	0.064
gosh darn	0.064
run after	0.064
swear word	0.064
skinny jeans	0.064
meth lab	0.064
class act	0.064
call ahead	0.064
one thousand	0.064
breathe out	0.064
good life	0.064
night game	0.064
deep fried	0.064
perfect pitch	0.064
background noise	0.064
split decision	0.064
mixed drink	0.064
proud of	0.064
second life	0.064
grind up	0.064
good money	0.064
climb up	0.064
waste money	0.064
bowel movement	0.064
a kickback	0.064
double standard	0.064
cruel joke	0.064
state school	0.064
dark meat	0.064
set free	0.064
face card	0.064
glory hole	0.064
finish line	0.064
reek of	0.064
walk on	0.064
what's up	0.062
dark matter	0.062
throwing away	0.062
medical student	0.062
ice hockey	0.062
all eyes	0.062
irrespective of	0.062
damage control	0.062
city council	0.062
error message	0.062
ethnic cleansing	0.062
good fun	0.062
fireside chat	0.062
keep track	0.062
game ball	0.062
motion sickness	0.062
chit chat	0.062
stripped down	0.062
expand on	0.062
get advice	0.062
free kick	0.062
roundabout way	0.062
drown in	0.062
do me	0.062
sounds like	0.062
show out	0.062
new information	0.062
tough guy	0.062
modern world	0.062
scoop up	0.062
serve up	0.062
wind up	0.062
play ball	0.062
take pride	0.062
in charge	0.062
leather pants	0.062
swipe right	0.062
junk drawer	0.062
concerned with	0.062
tax fraud	0.062
hook up	0.062
team member	0.062
time capsule	0.062
service dog	0.062
rubbing alcohol	0.062
write down	0.062
take over	0.062
air pressure	0.062
join in	0.062
dress rehearsal	0.062
unsung heroes	0.062
car dealership	0.062
feed off	0.062
read in	0.060
go unnoticed	0.060
goon squad	0.060
weak argument	0.060
different strokes	0.060
spring cleaning	0.060
whole lot	0.060
logical fallacy	0.060
double feature	0.060
east coast	0.060
retail price	0.060
national debt	0.060
baby boy	0.060
body weight	0.060
negative feedback	0.060
stand out	0.060
well established	0.060
run in	0.060
hunger for	0.060
good bet	0.060
hell week	0.060
ripple effect	0.060
kneel down	0.060
go hungry	0.060
social assistance	0.060
flight crew	0.060
tough call	0.060
open doors	0.060
charge with	0.060
bad weather	0.060
drink up	0.060
new look	0.060
opening line	0.060
buy at	0.060
public domain	0.060
speak to	0.060
aye aye	0.060
on demand	0.060
take for	0.060
passing away	0.060
start date	0.060
issue from	0.060
gateway drug	0.060
fear for	0.058
poker face	0.058
to suck	0.058
go bankrupt	0.058
gay club	0.058
party member	0.058
favor with	0.058
gear up	0.058
quantities of	0.058
get through	0.058
ping pong	0.058
wrong direction	0.058
mechanical engineering	0.058
top notch	0.058
holy crap	0.058
up until	0.058
honest truth	0.058
sore loser	0.058
valued at	0.058
hang over	0.058
fist bump	0.058
may day	0.058
special session	0.058
warm weather	0.058
buy it	0.058
go nuts	0.058
sneak out	0.058
get laid	0.058
drive at	0.058
night court	0.058
by chance	0.058
show time	0.058
stand firm	0.058
picnic table	0.058
dum dum	0.058
starter pack	0.056
big whoop	0.056
in tough	0.056
financial advisor	0.056
team up	0.056
great trust	0.056
go green	0.056
match up	0.056
knocked out	0.054
voice over	0.054
american dream	0.054
impulse buy	0.054
first period	0.054
blue chips	0.054
manage to	0.054
lose him	0.054
east side	0.054
news item	0.054
studio album	0.054
in reverse	0.054
dental hygienist	0.054
cut corners	0.054
laser beam	0.054
live out	0.054
belly laugh	0.054
sympathize with	0.054
annual report	0.054
shopping center	0.054
mass market	0.052
white person	0.052
life support	0.052
block out	0.052
bad habit	0.052
get going	0.052
black box	0.052
earnings report	0.052
far gone	0.052
value system	0.052
top floor	0.052
send for	0.052
fanny pack	0.052
musical theater	0.052
dirty laundry	0.052
be up	0.052
rings true	0.052
rich person	0.052
aye man	0.052
strike out	0.052
bike lane	0.052
depend upon	0.050
play games	0.050
do harm	0.050
trot out	0.050
trust me	0.050
property owner	0.050
snap in	0.050
customer base	0.050
bar none	0.050
french teacher	0.050
luxury tax	0.050
long shot	0.050
trying on	0.050
bring forth	0.050
square dancing	0.050
politically incorrect	0.050
due diligence	0.050
bottle opener	0.050
step up	0.050
knock out	0.050
wedding dress	0.050
every thing	0.050
big picture	0.050
tall buildings	0.050
zone in	0.050
great deal	0.050
burn bridges	0.050
the finger	0.050
a to-do	0.050
organ donor	0.050
reminiscent of	0.050
from scratch	0.050
public image	0.050
key fob	0.050
rock bottom	0.050
compare with	0.050
locker room	0.050
real reason	0.050
funny stuff	0.050
block in	0.050
state fair	0.050
safe environment	0.050
cautiously optimistic	0.050
hyped up	0.050
too many	0.050
root for	0.050
simon says	0.050
check that	0.050
led by	0.050
wave on	0.050
digital camera	0.050
homeless person	0.050
court system	0.050
real issue	0.050
general meeting	0.050
secondary market	0.050
pretty girl	0.050
political science	0.050
boat load	0.050
turn out	0.050
in question	0.050
tap in	0.050
christmas gift	0.050
strike on	0.050
walk over	0.050
mouth watering	0.048
rough in	0.048
dressing up	0.048
art deco	0.048
bad news	0.048
folk music	0.048
joint pain	0.048
point blank	0.048
high up	0.048
club soda	0.048
environmentally friendly	0.048
hear from	0.048
tribute band	0.048
food court	0.048
stunt double	0.048
executive order	0.048
have reason	0.048
guilty pleasure	0.048
climate change	0.048
kill off	0.048
bad breath	0.048
spit up	0.048
school board	0.048
quick look	0.048
african american	0.048
scratch off	0.048
hot air	0.048
far right	0.048
at will	0.048
get onto	0.048
box set	0.048
soccer ball	0.048
pound cake	0.048
gentle giant	0.048
catch it	0.048
real estate	0.048
strong point	0.048
moral support	0.048
drive away	0.048
open up	0.048
venture out	0.048
rare occurrence	0.048
third baseman	0.048
inside out	0.048
open bar	0.048
come online	0.048
consolation prize	0.048
medical science	0.048
professional help	0.048
good will	0.048
get after	0.048
buy out	0.048
vouch for	0.048
cross country	0.048
cut one	0.048
dead body	0.048
great story	0.048
fast food	0.048
picked up	0.048
driver license	0.048
art director	0.048
local business	0.048
bad times	0.048
immune system	0.048
conveyor belt	0.048
school district	0.046
jack in	0.046
something about	0.046
root cause	0.046
cheese grater	0.046
round trip	0.046
make it	0.046
ball club	0.046
guinea pig	0.046
bad day	0.046
break with	0.046
jet ski	0.046
potty mouth	0.046
flare up	0.046
have words	0.046
blood orange	0.046
pure gold	0.046
slide down	0.046
close friend	0.046
skate park	0.046
floor it	0.046
disagree with	0.046
suffer from	0.046
jet fuel	0.046
private citizen	0.046
retirement fund	0.046
garage door	0.046
open door	0.046
show interest	0.046
so much	0.046
little league	0.046
remembrance day	0.046
true statement	0.046
rare occasions	0.046
plus size	0.046
hard right	0.046
atta girl	0.046
hang with	0.046
blue box	0.046
depth perception	0.046
call after	0.046
full circle	0.046
user interface	0.046
stand up	0.046
edge off	0.046
raise to	0.046
first time	0.046
party line	0.046
minority group	0.046
second chance	0.046
reach for	0.046
deficit spending	0.046
gift wrapping	0.046
on standby	0.046
fiscal policy	0.046
cold open	0.046
take pleasure	0.046
bad guy	0.046
big mouth	0.046
sucked in	0.046
picture show	0.046
stack up	0.046
wine tasting	0.046
real thing	0.046
nice things	0.046
cost effective	0.046
point spread	0.046
go well	0.046
moral compass	0.046
get support	0.046
slap on	0.044
wrongful death	0.044
bear hug	0.044
mickey mouse	0.044
rain forest	0.044
short order	0.044
head over	0.044
thrown in	0.044
toy store	0.044
trash collector	0.044
